section_heading,control_heading,question,answer,notes
Data Protection & Access Control,Encryption,"Do you encrypt customer data? If so, please upload relevant documentation and describe how you encrypt customer data.",Yes,"All data in transit is encrypted using TLS 1.2 or higher and all data at rest is encrypted using AES-256.
"
Data Protection & Access Control,Data Access & Handling,Describe how your organization decides who does and does not have access to sensitive data,"""ClientABC""’s policies and procedures regarding access to ""ClientABC"" Systems adhere to the principles of role-based access control (RBAC), least privilege, and separation of duties.
",
Data Protection & Access Control,Data Access & Handling,Do you have capabilities to anonymize data?,Yes,
Data Protection & Access Control,Data Access & Handling,How is data anonymization implemented?,"We may create anonymous data records from Personal Data by excluding information (such as your name and IP address) that makes the data personally identifiable to you.
",
Data Protection & Access Control,Data Access & Handling,"Please describe your general rules management in relation to role provisioning, deprovisioning, and recertification.","Manual process, all provisioning/deprovisioning is recorded in our ticketing system. User roles and permission are managed manually, on a need-to-know basis and following the least privilege method.
",
Data Protection & Access Control,Data Access & Handling,Which groups of staff (individual contractors and full-time) have access to personal and sensitive data handed to you?,"Only privileged users have access. Additionally, access is granted based on the principle of least privilege.

",
Data Protection & Access Control,Data Access & Handling,"Do you keep sensitive data (as defined by your data classification matrix) in hard copy (e.g. paper copies)? If so, please describe.",Yes,"There is a small range of paper-based information assets in use within ""ClientABC"", including ""ClientABC"" contracts, legal and procurement forms, general working information (printed documents, e-mails etc.). Paper information (e.g customer contracts) are generally retained and eventually shredded at the end of their retention period in a secure manner.
"
Data Protection & Access Control,Data Access & Handling,Do you have a procedure for securely destroying hard copy sensitive data?,Yes,
Data Protection & Access Control,Data Access & Handling,Do you support secure deletion (e.g. degaussing/cryptographic wiping) of archived or backed-up data?,Yes,
Data Protection & Access Control,Data Access & Handling,Describe the circumstances in which customer data is allowed leave your production systems?,"Customer data is never allowed to leave production systems. Customer data always resides in the production environment in an encrypted manner.
",
Data Protection & Access Control,Authentication,Do you have an internal password policy?,Yes,
Data Protection & Access Control,Authentication,Do you have complexity or length requirements for passwords?,Yes,"Passwords must be at least eight characters, including at least one lower case letter, upper case letter, number, and symbol.
"
Data Protection & Access Control,Authentication,"Do you hash passwords? If so, please describe how passwords are hashed.",Yes,"User credentials for the ""ClientABC""  UI are stored using industry standard and audited one-way hashes.
"
Data Protection & Access Control,Authentication,Do employees/contractors have ability to remotely connect to your production systems? (i.e. VPN),Yes,"An encrypted VPN is utilized for remote access to help ensure the privacy and integrity of the data passing over the public network.
"
Data Protection & Access Control,Authentication,Is MFA required for employees/contractors to log in to production systems?,Yes,
Data Protection & Access Control,Authentication,Do internal applications leverage SSO for authentication?,Yes,
Data Protection & Access Control,Third Party Data Processing,"Do processors (vendors) access your customer's information? If so, please list the processors (vendors) who access your customer's information.",Yes,"
"
Data Protection & Access Control,Third Party Data Processing,Do these processors (vendors) contractually comply with your security standards for data processing?,Yes,
Data Protection & Access Control,Third Party Data Processing,Do you regularly audit your critical vendors?,Yes,
Data Protection & Access Control,EU Data/Privacy Shield,"(Only applicable if your company/data centers are based in the US) For the provision of services, do you process EU citizens' personal data?",Yes,
Data Protection & Access Control,EU Data/Privacy Shield,"Are you currently Privacy Shield certified? If so, please link to your certification.",No,
Data Protection & Access Control,EU Data/Privacy Shield,Have you appointed a Data Protection Officer (DPO)?,Yes,"We have a data protection officer (currently Murray Gregorson). Our data protection officer (DPO) is responsible for the protection and privacy of the data.
"
Data Protection & Access Control,EU Data/Privacy Shield,Do you plan on being Privacy Shield certified withing the next 12 months?,No,
Policies & Standards,Management Program,Do you have a formal Information Security Program (InfoSec SP) in place?,Yes,
Policies & Standards,Management Program,Do you review your Information Security Policies at least once a year?,Yes,
Policies & Standards,Management Program,Do you have a Information security risk management program (InfoSec RMP)?,Yes,
Policies & Standards,Management Program,Do you have management support or a security management forum to evaluate and take action on security risks?,Yes,
Policies & Standards,Management Program,"Do you have a dedicated information security team? If so, what is the composition and reporting structure?",Yes,"""ClientABC""’s Information Security Program is maintained by a dedicated security team, led by our Chief Information Security Officer. In addition, there are clearly defined roles and responsibilities, including the designation of a security incident task force.
"
Policies & Standards,Policy Execution,"Do your information security and privacy policies align with industry standards (ISO-27001, NIST Cyber Security Framework, ISO-22307, CoBIT, etc.)?",Yes,"""ClientABC"" maintains an established Security Incident Response Plan that aligns with NIST and ISO/IEC 27001:2013.
"
Policies & Standards,Policy Execution,Do you have a policy exception process?,Yes,
Policies & Standards,Policy Execution,Is a formal disciplinary or sanction policy established for employees who have violated security policies and procedures?,Yes,"""ClientABC"" has formal process disciplinary policy for personnel who have violated corporate policies. These processes are documented in the employee handbook and related HR documentation. Personnel who violate corporate policies and procedures are subject to disciplinary action up to and including termination.
"
Policies & Standards,Background Checks,"Are all employment candidates, contractors and involved third parties subject to background verification (as allowed by local laws, regulations, ethics and contractual constraints)?",Yes,"Before an employee’s start date, Human Resources performs identity, employment, and education verification as well as multi-residence criminal background and government sanctions checks on all prospective employees to the extent allowable by local laws.
"
Policies & Standards,Confidentiality,"Are all personnel required to sign Confidentiality Agreements to protect customer information, as a condition of employment?",Yes,"All employees and contingent workers to execute NDA or other confidentiality agreements.
"
Policies & Standards,Acceptable Use,Are all personnel required to sign an Acceptable Use Policy? Please attach,Yes,
Policies & Standards,Job Changes and Termination,Are documented procedures followed to govern change in employment and/or termination including for timely revocation of access and return of assets?,Yes,"Upon termination of contract or business relationship, employees and business partners are adequately informed of their obligations for returning organizationally-owned assets. We have asset return procedures outlining how assets should be returned within an established period.
"
Proactive Security,Independent Third-Party Penetration Testing,"How is your network security testing performed? 
- A. Internal
- B. Third parties
- C. Both? If so, what is the cadence? Explain your methodology",B.Third Parties,"Our ""ClientABC""  production environment is subject to an external penetration test by a nationally recognized security firm at least once per calendar year. Upon request, we will provide you with a summary letter of engagement that includes the number of high, medium, and low issues identified.
"
Proactive Security,Independent Third-Party Penetration Testing,"How is your application security testing performed?
- A. Internal
- B. Third parties
- C. Both? If so, what is the cadence? Explain your methodology",A. Internal; B. Thrid Parties,"""ClientABC"" utilizes Veracode for dynamic and static application security testing. Coverity and Snyk are also used for static testing.
"
Proactive Security,Vulnerability Management/Patching,"Do you have network vulnerability management processes and procedures? If so, please summarise or attach your network vulnerability management processes and procedures.",Yes,"""ClientABC"" maintains a documented vulnerability enumeration and management program that identifies internet-accessible company assets, scans for known vulnerabilities, evaluates risk, and tracks issue remediation. We conduct quarterly scans of both the underlying systems upon which ""ClientABC""  is hosted, as well as all third-party code integrated into our products. ""ClientABC""’s vulnerability management policy requires individual engineering teams to identify known vulnerabilities in system components, and develop remediation timeframes commensurate to the severity of an identified issue. We also utilize automated tooling in conjunction with monitoring security bulletins for relevant software and libraries, and implement patches if security issues are discovered.
"
Proactive Security,Vulnerability Management/Patching,"Do you have a timeframe for patching critical vulnerabilities? If so, please describe your timeframe for patching critical vulnerabilities.",Yes,"The timeframe for patching a vulnerability is commensurate with its CVSS score. For example, our Vulnerability Management policy requires Critical severity vulnerabilities to be patched or remediated within a maximum of 24 hours.
"
Proactive Security,Vulnerability Management/Patching,"Do you use tools for vulnerability managment? If so, please describe the tools you use for vulnerability managment.",Yes,"""ClientABC"" uses Nessus to perform cyber vulnerability scans.
"
Proactive Security,Vulnerability Management/Patching,"Do you have application vulnerability management processes and procedures? If so, please summarise or attach your application vulnerability management processes and procedures.",Yes,
Proactive Security,Vulnerability Management/Patching,"Do you use tools for application vulnerability management? If so, please detail the tools you use for application vulnerability management.","We do not have a bug bounty program at this time, however, we do have a coordinated disclosure program. ","""ClientABC"" utilizes sian JIRA tickets to prioritize bugs and tracking in an agile framework.
"
Proactive Security,Vulnerability Management/Patching,Do you regularly evaluate patches and updates for your infrastructure?,Yes,
Proactive Security,Vulnerability Management/Patching,Do you publish a path for responisble disclosure of security vulnerabilities (ie security@ or /security)?,Yes,
Proactive Security,Vulnerability Management/Patching,Do you have an established bug bounty program?,No,"We do not have a bug bounty program at this time, however, we do have a coordinated disclosure program. Please see the following page for additional information: https://www.""ClientABC"".com/security"
Proactive Security,Endpoint Security - End User,Are all endpoint laptops that connect directly to production networks centrally managed?,No,We do not permit direct connections to our backend production environment.
Proactive Security,Endpoint Security - End User,"Describe standard employee issued device security configuration/features. (Login Password, antimalware, Full Disk Encryption, Administrative Privileges, Firewall, Auto-lock, etc.)","All devices utilized for business purposes are required to have a screen lock and a set password. Also, all ""ClientABC"" managed workstations run up to date anti-virus and anti-malware software. Full disk encryption is enforced too. This is enforced via MDM for ""ClientABC""-owned devices and via compliance with our BYOD policy for personal devices not owned by ""ClientABC"".
",
Proactive Security,Endpoint Security - End User,Does sensitive or private data ever reside on endpoint devices? How is this policy enforced?,No,"Our BYOD policy prohibits storing confidential data on mobile devices, this includes any data that our customers store in their  Clusters. Our Customer's data will reside in the cloud and not onsite.
"
Proactive Security,Endpoint Security - Production Server,"Do you limit data exfiltration from production endpoint devices? If so, please describe how you limit data exfiltration from production endpoint devices.",Yes,"The data our customers store in  is arbitrary and unstructured. Also, we do not inspect this data. Therefore a traditional ‘DLP Tool’ which operates off structured data and patterns and must be able to inspect data would not function properly. Alternatively, we have implemented strong technical and procedural controls to minimize the possibility of data loss. To maintain compliance with various standards and certification such as ISO 27001:2013 and PCI DSS, these controls are reviewed on an annual basis by an independent third party.
"
Proactive Security,Endpoint Security - Production Server,"What systems do you have in place that mitigate classes of web application vulnerabilities? (e.g.: WAF, proxies, etc)","The entire  platform is protected by a firewall.
",
Proactive Security,Endpoint Security - Production Server,Do you have breach detection sytems and/or anomaly detection with alerting?,Yes,"""ClientABC"" Systems have IDS/IPS systems deployed, which are monitored 24/7.
"
Proactive Security,Infrastructure Security,Are the hosts where the service is running uniformly configured?,Yes,"""ClientABC"" utilizes a proprietary baseline that was developed following guidance from NIST, OWASP and industry best practices.
"
Proactive Security,Infrastructure Security,"Describe your secrets management strategy:(auth tokens, passwords, API credentials, certificates)","""ClientABC"" uses centrally managed SSO for authentication. Complex passwords and 2FA are mandatory for all personnel.
",
Proactive Security,Infrastructure Security,"Are all security events (authentication events, SSH session commands, privilege elevations) in production logged?",Yes,
Proactive Security,Infrastructure Security,Is the production network segmented in to different zones based on security levels?,Yes,"You may choose to deploy your  Clusters in a dedicated virtual environment or a shared multi-tenant system. Dedicated  Clusters are deployed in a VPC (for AWS and GCP) or VNet (for Azure) that fully isolates your data and is configured to prevent inbound network access from the internet. Each such  VPC or VNet utilizes security groups that act as a virtual firewall for your dedicated ""ClientABC""  Clusters.
"
Proactive Security,Infrastructure Security,"Do you have a process for making changes to network configuration? If so, please describe this process for making changes to network configuration.",Yes,"Cloud Engineering personnel and executive management participate in a change management meeting on a weekly basis to discuss security of the ""ClientABC"" Cloud environment and the business impact of potential changes to the system. Each change must be discussed, prioritized, and approved during this meeting in order to be implemented. The ability to implement changes is restricted to user accounts accessible by authorized Cloud Engineering personnel and the production environment is logically and physically segmented from the development and test environments. Management and engineers are notified of changes and ongoing and upcoming projects that affect the in-scope systems via the monthly change management prioritization meetings.
"
Proactive Security,Infrastructure Security,"Is all network traffic over public networks to the production infrastructure sent over cryptographically sound encrypted connections? (TLS, VPN, IPSEC, etc). If there are plaintext connections, what is sent unencrypted?",Yes,"MFA for access to production systems and VPN for access to dev networks is used. All data is fully encrypted from a filesystem perspective
"
Proactive Security,Cryptography,"Do you use cryptographic frameworks to secure data in transit over public networks? If so, please describe the cryptographic frameworks you use.",Yes,"In transit, our data is encrypted with TLS 1.2.
"
Proactive Security,Cryptography,"Do you use cryptographic frameworks to secure data at rest? If so, please describe the cryptographic frameworks you use.",Yes,All data at rest is encrypted using AES-256.
Proactive Security,Cryptography,"Do you use cryptographic frameworks to store passwords? If so, please describe the cryptographic frameworks you use.",Yes,"User credentials for the ""ClientABC""  UI are stored using industry standard and audited one-way hashes.
"
Proactive Security,Cryptography,"Are any custom crypographic frameworks/implementations used? If so, have any custom cryptographic frameworks been reviewed by an independent 3rd party?",No,
Proactive Security,Cryptography,"Are crytographic keys (key management system, etc) managed within your system? If so, please describe how crytographic keys(key management system, etc) are managed.",Yes,"""ClientABC""  platform manages encryption keys on behalf of the Customer. Customers may elect to restrict the access of ""ClientABC"" support personnel to their ""ClientABC""  database clusters. Customers may also elect to manage their encryption keys via integration with a KMS service. See the following links for further details: ""ClientABC"" KMS Integrations:       

 "
Proactive Security,Security Awareness,"Do you have a security awareness program for personnel? If so, please describe the program.",Yes,"All employees and contractors undergo regular security awareness training appropriate to their role and function within the organization upon hire and annually.
"
Reactive Security,Threat Intelligence,"Do you keep aware of potential security vulnerabilities and threats that may affect your service? If so, please describe how you keep aware of potential security vulnerabilities and threats that may affect your service.",Yes,"To help identify potential security vulnerabilities on the production network, security management performs network vulnerability scans on at least a quarterly basis. In addition, a qualified third party conducts a penetration test on at least an annual basis.
Also, ""ClientABC"" Systems have IDS/IPS systems deployed, which are monitored 24/7. We utilize firewalls, host-based IDS, and IP gateways to protect  Clusters. "
Reactive Security,Monitoring,"Do you log and alert on relevant security events? (this includes the network and application layer)? If so, please describe how you log and alert on relevant security events.",Yes,"We log any access by ""ClientABC"" personnel to ""ClientABC""  Clusters. Audit logs are retained for at least six years, and include a timestamp, actor, action, and output. ""ClientABC"" utilizes a combination of automated and human review to scan those audit logs. Finally, ""ClientABC""’s audit logs are stored in a centralized SIEM. Access to the SIEM is centrally controlled using Okta and limited to a relatively small number of privileged ""ClientABC"" personnel. Log immutability is enforced by our SIEM. Once a log is written to the SIEM’s index it cannot be altered.
"
Reactive Security,Incident Response,"Do you have a Security Incident Response Program? If so, please describe or attach your Security Incident Response Program.",Yes,"Our incident response plan includes procedures and timeframes for notifying affected customers. ""ClientABC"" will notify you without undue delay if we become aware of any Data Breach. Taking into account the information available to us, such notice will include a description of the nature and cause of the Data Breach and the expected resolution time. To the extent possible, we will subsequently update you with information regarding the evaluation of the root cause, potential impact, remediation actions taken, and actions planned to prevent a future similar event.
"
Reactive Security,Incident Response,"Do you test your Incident Response Plan? If so, please describe how it is tested and include cadence.",Yes,"The security incident response plan is reviewed, updated, and tested annually, including a security tabletop exercise at least once per year.
"
Reactive Security,Incident Response,Do you have a formal service level agreement (SLA) for incident response?,Yes,
Reactive Security,Incident Communication,Do you have formally defined criteria for notifying a client during an incident that might impact the security of their data or systems? What are your SLAs for notification?,Yes,"""ClientABC"" will notify you without undue delay if we become aware of any Data Breach. Taking into account the information available to us, such notice will include a description of the nature and cause of the Data Breach and the expected resolution time. To the extent possible, we will subsequently update you with information regarding the evaluation of the root cause, potential impact, remediation actions taken, and actions planned to prevent a future similar event.
"
Software Supply Chain,Secure SDLC,Do you do static code analysis?,Yes,
Software Supply Chain,Secure SDLC,"Do you ensure code is being developed securely? If so, please describe how you ensure code is being developed securely.",Yes,"We follow NIST and OWASP guidelines for our software development.
Engineers test for vulnerabilities, including dependencies and third-party packages, before they release code. All software projects undergo security review annually or more often by ""ClientABC""'s dedicated security team or third-party security service, using fuzz testing and static analysis.
"
Software Supply Chain,Secure SDLC,"Is threat modelling incorporated in the design phase of development? If so, please describe how threat modelling is incorporated in the design phase of development.",Yes,"All new features and changes made to the  product and its platform undergo a formal design and scoping process. As part of that process, we include security sections in our scoping documents that explicitly require threat models and security assessments as appropriate. We perform both static and dynamic application security testing.
"
Software Supply Chain,Secure SDLC,"Do you train developers in SSDLC / Secure Coding Practices? If so, please describe how you train developers in SSDLC / Secure Coding Practices.",Yes,"""ClientABC"" development staff are trained on secure coding practices. Training topics may include managing changes to our code, continuous integration of source code commits, code versioning, fuzz testing, static and dynamic code analysis, vulnerability management, and bug hunting, as well as source code analysis/tools usage.
"
Software Supply Chain,Deployment Processes,What percentage of your production code is covered by automated tests?,"100% of our production code is covered by automated tests.
",
Software Supply Chain,Deployment Processes,Is a staging/pre-production system used to validate build artifacts before promotion to production?,Yes,
Software Supply Chain,Dependency Management,Do you maintain a bill of materials for third party libraries or code in your service?,Yes,"There is an established and maintained security management program that validates the identity (authenticity and origins) as well as integrity (uncompromised) of third-party hardware, firmware and software including open source code software.
"
Software Supply Chain,Dependency Management,"Do you monitor vulnerabilities in dependencies? If so, please describe how you monitor vulnerabilities in dependencies.",Yes,"We conduct quarterly scans of both the underlying systems upon which ""ClientABC""  is hosted, as well as all third-party code integrated into our products. We also utilize automated tooling in conjunction with monitoring security bulletins for relevant software and libraries, and implement patches if security issues are discovered.
"
Software Supply Chain,Dependency Management,Do you outsource development? (contracted with a 3rd party? open source project inclusion?),No,"All development of our products is done in-house. We do not outsource development.
"
Software Supply Chain,Dependency Management,What types of security reviews do you perform on custom-built software?,"Our SDLC includes regular code reviews, documented policies and procedures for tracking and managing all changes to our code, continuous integration of source code commits, code versioning, fuzz testing, dynamic and static code analysis, vulnerability management, and bug hunts, as well as automated and manual source code analysis.
",
Customer Facing Application Security,Authentication,"Please describe how you authenticate users: If passwords are used, describe complexity requirements, and how passwords are protected. If SSO is supported, please describe the available options","Users are required to authenticate utilizing a combination of username, password and a Time-Based One-time Passcode (TOTP) or push notification to a mobile phone. This is in addition to strong password requirements. ""ClientABC""  customers have the option to authenticate to the ""ClientABC"" Cloud console using a Single-Sign-On identity provider like Okta, OneLogin, Ping, Azure AD, AWS Single Sign-On, or Google Cloud Identity SSO. Also, at no extra cost, customers can use SAML to federate their corporate identity to all ""ClientABC"" consumer-facing web portals while the enterprise remains in control of security and access.
All ""ClientABC"" personnel passwords must be at least eight characters, including at least one lower case letter, upper case letter, number, and symbol. Passwords may not contain part of a username or the person’s first or last name.",
Customer Facing Application Security,Authentication,Does application allow user MFA to be enforced by admins?,Yes,
Customer Facing Application Security,Authentication,Does application support IP whitelisting for user authentication?,Yes,
Customer Facing Application Security,Role Based Access Control,"Does your application support standardized roles and permissions for users (ie admin, user)?",Yes,
Customer Facing Application Security,Role Based Access Control,Does your application enable custom granular permissions and roles to be created?,Yes,"""ClientABC""  allows you to define permissions for individual users or applications in order to restrict the customer data that is accessible in a query.
"
Customer Facing Application Security,Audit logging,Which audit trails and logs are kept for systems and applications with access to customer data?,"Application and Operating System Logs We log any access by ""ClientABC"" personnel to ""ClientABC""  Clusters. Audit logs are retained for at least six years, and include a timestamp, actor, action, and output. ""ClientABC"" utilizes a combination of automated and human review to scan those audit logs. Finally, ""ClientABC""’s audit logs are stored in a centralized SIEM. Access to the SIEM is centrally controlled using Okta and limited to a relatively small number of privileged ""ClientABC"" personnel. Log immutability is enforced by our SIEM. Once a log is written to the SIEM’s index it cannot be altered. Database Logs Customers can select the actions that they want to audit, as well as the ""ClientABC"" users,  roles, and LDAPS groups whose actions they wanted audited from the  UI. When needed, audit logs can be downloaded in the UI or retrieved using the ""ClientABC""  API.
",
Customer Facing Application Security,Audit logging,"Does your application provide customer adminstrators with direct access to verbose audit logs (API, export, viewer etc)?",Yes,
Customer Facing Application Security,Data Retention,Does your application allow for custom data retention policy for customer data?,Yes,"The customer has full control over their data and can choose to delete it from their  clusters at any time. When a customer terminates an  Cluster, the following happens: it will become unavailable immediately; ""ClientABC"", Inc. may retain a copy of the data for up to 5 days; the backup associated with the managed cluster is also terminated. If a customer terminates backup, all snapshots become unavailable immediately. It may take up to 24 hours for all copies of the data to be deleted.
"
Customer Facing Application Security,Change management,Does your application provide a change log?,Yes,
Customer Facing Application Security,Change management,Does your application provide a sandbox environment to customers for testing?,Yes,"Customers are able to configure an instance on  or their self-managed environment and use it as a sandbox.
"
Customer Facing Application Security,API Management,Does your API implement rate limiting?,Yes,
Customer Facing Application Security,API Management,"Does your application store API keys? If so, please describe how your application stores API keys.",Yes,"API keys are stored with always-on volume encryption in a database inside our control plane. Appropriate access controls are applied and operations are logged when creating, deleting, or authenticating with the API key. Customers are expected to follow the best practices of API key management such as periodically rotating them in production. An IP Whitelist can be added to the API Key when created.
"
Customer Facing Application Security,API Management,Does application support IP whitelisting for API access?,Yes,
Compliance,Internal Audits,"Do you conduct internal audits (audits lead by your personnel) of the service? If so, please describe the scope, remediation process and frequency of audits.",Yes,"""ClientABC""  Infrastructure and Application Security Policy, which is part of the ISO 27001:2013 ISMS for , includes sections addressing operational change management and change control. This policy is reviewed and approved annually by ""ClientABC""'s CISO and is available to all personnel via ""ClientABC""'s internal wiki. Finally, ""ClientABC""'s mandatory annual security training includes content that covers our ISMS policies and procedures."
Compliance,External Audits,"Do you conduct external (third-party) audits of the service? If so, please describe the scope and frequency of audits.",Yes,"""ClientABC"" regularly engages independent Third Parties to carry out audits and testing against defined industry standards. This includes ISO 27001:2013, SOC 2 Type II and PCI DSS.
"
Compliance,External Audits,Please provide a copy of the most recent report.,You will be able to upload a file for this question through Whistic after importing.,
Compliance,Certifications,"Which IT operational, security, privacy related standards, certifications and/or regulations you do comply with?","""ClientABC""  is ISO 27001:2013 and PCI DSS certified. We are also GDPR and CCPA certified. We have attained CSA STAR Level 2, ISO 27017, and ISO 27018 certifications for ""ClientABC"" . Additionally, ""ClientABC""’s Information Security Program complies with applicable data protection laws and is aligned with the NIST Cyber Security Framework (NIST).
",
Compliance,Certifications,Please provide a copy of the most recent certifications.,You will be able to upload a file for this question through Whistic after importing.,
Compliance,Privacy,Are your confidential data acess controls in line with your data classification matrix?,Yes,
Compliance,Privacy,"Do you share customer data with, or enable direct access by, any third-party?",No,
Compliance,Privacy,Do you seek a right to use or own customer derived data for your own purposes?,No,
Compliance,Privacy,Is your Privacy Notice/ Privacy Policy externally available? Please provide us with the URL.,Yes,
